text,intent,label
set to mute,volume control,19
date in new york,asking time,1
Do you know any jokes,tell me joke,17
open website stackoverflow.com,open website,9
check for new emails,send email,13
What are your functionalities?,what can you do,20
can you take a role of enemy in the game of coc,play games,11
capture photo of,click photo,3
open website stackoverflow.com,open website,9
speakers off,volume control,19
send an email to fred from work he is in my contacts,send email,13
send email to newmail@gmail dot com,send email,13
Can you tell me the time?,asking time,1
I am so bored,i am bored,8
when was this song recorded,play on youtube,12
open website stackoverflow.com,open website,9
covid cases,covid cases,4
send email to dipesh,send email,13
What are your functionalities?,what can you do,20
This is Adam,"greet and hello hi kind of things, general check in",7
date,asking date,0
play games of xyz 32 bit,play games,11
from now on mute,volume control,19
send whatsapp message,send whatsapp message,14
hi,"greet and hello hi kind of things, general check in",7
volume control decrease,volume control,19
This is Adam,"greet and hello hi kind of things, general check in",7
tell me a dad joke,tell me joke,17
open website linkedin.com,open website,9
can you play my favorite music,play on youtube,12
covid cases,covid cases,4
play my first favorite song on loop,play on youtube,12
mute volume,volume control,19
take screenshot of,take screenshot,15
turn on coffee machine and make a pot of coffee,,-1
Quiet,goodbye,6
send whatsapp message,send whatsapp message,14
"Thanks, bye",goodbye,6
play bad guy on youtube,play on youtube,12
i am bored today,i am bored,8
"Thank you, goodbye",goodbye,6
let's play checkers,play games,11
download youtube video,download youtube video,5
This is Adam,"greet and hello hi kind of things, general check in",7
daily cases of india,covid cases,4
open website google.com,open website,9
This is Adam,"greet and hello hi kind of things, general check in",7
Good thanks! My user is Adam,"greet and hello hi kind of things, general check in",7
what is the time in milwaukee,asking time,1
click selfie,click photo,3
tell me you,tell me about,16
Do you know what time it is?,asking time,1
play gta vice city game,play games,11
locate me the amazon restaurants,places near me,10
capture photo of <name>,click photo,3
take me to music player,play on youtube,12
send whatsapp message,send whatsapp message,14
i am bored what can i do today with my wife,i am bored,8
good evening,goodbye,6
"Thank you, goodbye",goodbye,6
Can you tell me the time?,asking time,1
open some cools jokes,tell me joke,17
lower your volume please,volume control,19
It is Adam,"greet and hello hi kind of things, general check in",7
play games of xyz 32 bit,play games,11
I am so bored,i am bored,8
please read the last email for me,send email,13
what is today's date,asking time,1
what time is it today,asking time,1
make me laugh,tell me joke,17
good afternoon,goodbye,6
how about a nice game of chess,play games,11
tell me a joke about xenophobia,tell me joke,17
volume down,volume control,19
Hello,"greet and hello hi kind of things, general check in",7
where a good restaurant,places near me,10
"s2, i am unclear about your words.",tell me about,16
Tell me a joke,tell me joke,17
tell me fun joke,tell me joke,17
open website instagram.com,open website,9
play games of xyz 64 bit,play games,11
on what date is easter this year,asking time,1
i'dl like to hear any classical except for bach or schubert,play on youtube,12
See you later,goodbye,6
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
Hya there,"greet and hello hi kind of things, general check in",7
time to workout,play on youtube,12
my day was so busy,tell me about,16
Hola,"greet and hello hi kind of things, general check in",7
give me all ice cream shops within two miles,places near me,10
capture selfie,click photo,3
what is my most played song,play on youtube,12
open chess app and begin game,play games,11
Tell me a joke,tell me joke,17
How are you?,"greet and hello hi kind of things, general check in",7
do we have thirty first day on this month,asking time,1
cnn headlines,tell me news,18
set the volume to low,volume control,19
click photo,click photo,3
show current news from bbc,tell me news,18
Do you know what time it is?,asking time,1
what's good news today,tell me news,18
covid cases of india past 48 hours,covid cases,4
tomorrow,asking date,0
play games of xxd,play games,11
can you please make me a cup of black coffee,,-1
hey there,"greet and hello hi kind of things, general check in",7
it's quiet time,volume control,19
Do you know any jokes,tell me joke,17
sound off please,volume control,19
play lady now,play on youtube,12
"Thank you, goodbye",goodbye,6
take screenshot of <name>,take screenshot,15
tell me a joke about the north korea nuclear summit,tell me joke,17
Do you know what time it is?,asking time,1
Can you mute the volume?,volume control,19
send email to <name> about <name>,send email,13
tell me about my life,tell me about,16
what was the name of my last email,send email,13
tell me you,tell me about,16
click selfie of,click photo,3
good evening,goodbye,6
respond to my bosses email with the word that i will be in at four in the evening,send email,13
tell me a dad joke,tell me joke,17
mute volume,volume control,19
when is the third monday of this month,asking time,1
what's good news,tell me news,18
"Thanks, bye",goodbye,6
please warm up coffee machine,,-1
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
"Thanks, bye",goodbye,6
take screenshot,take screenshot,15
what is the time,asking time,1
Hello there,"greet and hello hi kind of things, general check in",7
send whatsapp message to 9898982565,send whatsapp message,14
send message via email,send email,13
send whatsapp message,send whatsapp message,14
tell me news,tell me news,18
what am i doing today,tell me about,16
capture photo,click photo,3
open website linkedin.com,open website,9
send whatsapp message,send whatsapp message,14
What are your capabilities?,what can you do,20
tell me about tomorrow,tell me about,16
I am feeling bored,i am bored,8
click selfie of,click photo,3
what is the weather day after tomorrow,asking weather,2
Hi there,"greet and hello hi kind of things, general check in",7
hi how are you,"greet and hello hi kind of things, general check in",7
play games of xyz 64 bit,play games,11
can you check to see if i have any recent email alerts,send email,13
My user is Adam,"greet and hello hi kind of things, general check in",7
screen shot of <name>,take screenshot,15
what time is it day before tomorrow,asking time,1
how was the weather this week,asking weather,2
Where can I find something nearby?,places near me,10
play on youtube,play on youtube,12
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
"Thank you, bye",goodbye,6
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
whats the weather like right now in new york,asking weather,2
goodnight,volume control,19
Hello,"greet and hello hi kind of things, general check in",7
what is the weather day after tomorrow,asking weather,2
should i take my raincoat with me now,asking weather,2
i am bored what can i do today with my family,i am bored,8
what time in las vegas,asking time,1
brew my coffee,,-1
once again clarify me about your answers please.,tell me about,16
This is Adam,"greet and hello hi kind of things, general check in",7
tomorrow,asking date,0
Enough talking,goodbye,6
What are your functionalities?,what can you do,20
what is the day,asking date,0
open website stackoverflow.com,open website,9
Hello how are you?,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
Tell me a joke,tell me joke,17
just let me know the current date today,asking time,1
send whatsapp message to 9898982565,send whatsapp message,14
tell me pizza restaurants close by,places near me,10
volume control mute,volume control,19
covid cases of india past 24 hours,covid cases,4
show me rediff masala,tell me news,18
volume control decrease,volume control,19
Hello how are you?,"greet and hello hi kind of things, general check in",7
send whatsapp message to,send whatsapp message,14
download youtube video of guru randhawa,download youtube video,5
find my email for date,send email,13
Hola how are you?,"greet and hello hi kind of things, general check in",7
download youtube video hd of,download youtube video,5
play games of xxd,play games,11
what can you do,what can you do,20
good news for economy,tell me news,18
what's good news,tell me news,18
can you please further elaborate what you just said.,tell me about,16
explain me further on what you have said please.,tell me about,16
send whatsapp message about <name>,send whatsapp message,14
i want to play fifa seventeen,play games,11
what are the news notification,tell me news,18
what time is it day after tomorrow,asking time,1
download youtube video of,download youtube video,5
Hola how are you?,"greet and hello hi kind of things, general check in",7
i would like a cup of coffee,,-1
click selfie of,click photo,3
Hello how are you?,"greet and hello hi kind of things, general check in",7
covid cases,covid cases,4
please tell me a joke that i'll think is funny,tell me joke,17
click selfie of,click photo,3
tell me about history of british india,tell me about,16
is it true the hanging tree really had someone hung from it,tell me about,16
Can you recommend some places nearby?,places near me,10
what is the name of the artist that created this song,play on youtube,12
Tell me a joke,tell me joke,17
take screenshot of google,take screenshot,15
play games of gcc,play games,11
did i receive any new email,send email,13
play games,play games,11
Hello,"greet and hello hi kind of things, general check in",7
list the shops near me,places near me,10
look at my email,send email,13
could you tell me funny things,tell me joke,17
i am bored today what can i do,i am bored,8
play bad guy on youtube,play on youtube,12
How are you?,"greet and hello hi kind of things, general check in",7
did mike send me an email,send email,13
tell me a joke about xenophobia,tell me joke,17
open website stackoverflow.com,open website,9
send email to <name> about <name>,send email,13
send email to mom and tell her see her at disney world,send email,13
This is Adam,"greet and hello hi kind of things, general check in",7
play games of xyz 32 bit,play games,11
what is the news about terrorist attack in afghanistan,tell me news,18
tell me about my job,tell me about,16
find a grocery store in town that carries creamed pickled herring,places near me,10
play on youtube,play on youtube,12
what's good news today,tell me news,18
send whatsapp message about <name>,send whatsapp message,14
did dan send me any emails,send email,13
please start the coffee,,-1
Hola how are you?,"greet and hello hi kind of things, general check in",7
"Thank you, bye",goodbye,6
"Thank you, bye",goodbye,6
How hot will it be,asking weather,2
tell me about today,tell me about,16
the current news,tell me news,18
What can you assist me with?,what can you do,20
what time is it day before tomorrow,asking time,1
play bad guy on youtube,play on youtube,12
play on youtube,play on youtube,12
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
make me laugh,tell me joke,17
screen shot of <name>,take screenshot,15
show me the name of the song playing right now,play on youtube,12
What are your functionalities?,what can you do,20
who is the singer of this song right now,play on youtube,12
today,asking date,0
open website stackoverflow.com,open website,9
play games of xxd,play games,11
how cold is it outside,asking weather,2
Enough talking,goodbye,6
Hello how are you?,"greet and hello hi kind of things, general check in",7
display nearby places,places near me,10
send whatsapp message to dipesh,send whatsapp message,14
take screenshot,take screenshot,15
Hello,"greet and hello hi kind of things, general check in",7
This is Adam,"greet and hello hi kind of things, general check in",7
what's going on at the capitol,tell me news,18
tell me a fun joke,tell me joke,17
what is a good rap album that came out this year,play on youtube,12
what is the weather like now tomorrow,asking weather,2
what song in the theme song for frasier,play on youtube,12
hey there,"greet and hello hi kind of things, general check in",7
play shape of you on youtube today,play on youtube,12
start making some coffee,,-1
show me reviews of my nearest location food court,places near me,10
Can you tell me the time?,asking time,1
play led zeppelin houses of the holy,play on youtube,12
what is the time in canada now,asking time,1
please turn the volume down,volume control,19
This is Adam,"greet and hello hi kind of things, general check in",7
send whatsapp message,send whatsapp message,14
show me the date of today,asking time,1
Quiet,goodbye,6
play games of busybox,play games,11
play on youtube,play on youtube,12
whats happening in football today,tell me news,18
download youtube video of,download youtube video,5
who wrote the song i just wanna dance with you,play on youtube,12
Do you know what time it is?,asking time,1
tell me a joke about getting a first,tell me joke,17
what pubs are close,places near me,10
turn on the coffee machine to make me some coffee,,-1
Is it going to snow,asking weather,2
whats up,"greet and hello hi kind of things, general check in",7
"Thank you, goodbye",goodbye,6
Tell me a joke,tell me joke,17
Hello there,"greet and hello hi kind of things, general check in",7
I am feeling a bit bored,i am bored,8
access latest news,tell me news,18
Do you know what time it is?,asking time,1
"Thank you, bye",goodbye,6
who was the last person to email me,send email,13
what's good news,tell me news,18
Make me laugh,tell me joke,17
What are the top places nearby?,places near me,10
play on youtube,play on youtube,12
what's close by for dinner,places near me,10
inform me of my new emails,send email,13
are there any unread emails from patrick,send email,13
Hi there,"greet and hello hi kind of things, general check in",7
tell me about my day,tell me about,16
i am bored today,i am bored,8
download youtube video of guru randhawa,download youtube video,5
click photo,click photo,3
play the song title,play on youtube,12
click selfie of,click photo,3
i want you to mute,volume control,19
howdy,"greet and hello hi kind of things, general check in",7
whats up,"greet and hello hi kind of things, general check in",7
"please tell me good news,tell me some good news,tell me something good happened",tell me news,18
tell me about my job,tell me about,16
send whatsapp message to 9898982565,send whatsapp message,14
brew me some coffee,,-1
open website github.com,open website,9
turn the vibrate off from speaker,volume control,19
volume control increase by 10,volume control,19
download youtube video of kishore kumar,download youtube video,5
Can you turn the volume up?,volume control,19
mobile shop,places near me,10
send email to,send email,13
"Thank you, goodbye",goodbye,6
make me a cup of coffee please,,-1
where are italian restaurants in me area,places near me,10
covid cases of,covid cases,4
day after tomorrow,asking date,0
lower the speakers,volume control,19
send an email to george brown,send email,13
I am feeling unoccupied,i am bored,8
Shhh,goodbye,6
What are the top places nearby?,places near me,10
play games,play games,11
volume control increase by 10,volume control,19
Time,asking time,1
I am finding myself bored,i am bored,8
good afternoon,goodbye,6
play what i am by edie brickel,play on youtube,12
play on youtube,play on youtube,12
good bye,goodbye,6
play bad guy on youtube,play on youtube,12
what time is it tomorrow,asking time,1
hi how are you,"greet and hello hi kind of things, general check in",7
Can you increase the volume?,volume control,19
download youtube video of guru randhawa,download youtube video,5
open website stackoverflow.com,open website,9
quieter,volume control,19
what time is it day after tomorrow,asking time,1
play new songs by barenaked ladies,play on youtube,12
can you turn that down,volume control,19
what day is it day after tomorrow,asking date,0
covid cases of india past 24 hours,covid cases,4
what time is it now,asking time,1
What are the top places nearby?,places near me,10
tell me a joke about donal trump,tell me joke,17
what is the day,asking date,0
open website facebook.com,open website,9
decrease the volume to ten,volume control,19
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
will you explain me about what you have said once again please.,tell me about,16
good day,goodbye,6
Hi,"greet and hello hi kind of things, general check in",7
download youtube video of kishore kumar,download youtube video,5
would you go check my emails for me,send email,13
download youtube video of minecraft,download youtube video,5
see you later,goodbye,6
i want to play a game with you,play games,11
play for me the game cricket,play games,11
send the following email to bro hi come down for dinner tonight,send email,13
play baseball with me,play games,11
open website stackoverflow.com,open website,9
What's the time?,asking time,1
This is Adam,"greet and hello hi kind of things, general check in",7
what day is it day after tomorrow,asking date,0
start the poker game,play games,11
email alice to let her know we are on the way,send email,13
how many new emails since i last checked,send email,13
journal entry for today,tell me about,16
what is the name of this song playing right now,play on youtube,12
shall we play a game,play games,11
play keno,play games,11
send email about <name>,send email,13
download youtube video of guru randhawa,download youtube video,5
Hope you are doing well?,"greet and hello hi kind of things, general check in",7
i need to find a funny joke that is ok for kids,tell me joke,17
please send a voice mail to mr richard office about meting him on first of february twenty seventeen at five pm,send email,13
reply to heather's latest email by answering no,send email,13
tell me about my college,tell me about,16
covid confirmed cases of,covid cases,4
have a anyinput day,tell me about,16
send whatsapp message,send whatsapp message,14
mute yourself when i am in a meeting,volume control,19
what is the weather like tomorrow,asking weather,2
do i have a new email from sandy,send email,13
Hello how are you?,"greet and hello hi kind of things, general check in",7
turn the volume down,volume control,19
covid cases of,covid cases,4
open website github.com,open website,9
how do i set the timer on my coffee machine,,-1
whats up,"greet and hello hi kind of things, general check in",7
Can you control the volume?,volume control,19
take screenshot of google,take screenshot,15
cut off noise,volume control,19
whats up,"greet and hello hi kind of things, general check in",7
send whatsapp message,send whatsapp message,14
play bad guy on youtube,play on youtube,12
tell me you,tell me about,16
where is a walking trail near me,places near me,10
i'd like an espresso,,-1
download youtube video of minecraft,download youtube video,5
i need some coffee please,,-1
play <song> on youtube,play on youtube,12
Can you increase the volume?,volume control,19
send happy new year to john@gmail dot com,send email,13
what time is it day before tomorrow,asking time,1
play kishore kumar on youtube,play on youtube,12
tell me about my business,tell me about,16
can you turn that down,volume control,19
what's good news today,tell me news,18
send whatsapp message,send whatsapp message,14
open the weather app,asking weather,2
further elaborate me on what you have said please.,tell me about,16
send email to <name> about <name>,send email,13
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
disable music player,volume control,19
are there any emails i haven't read yet,send email,13
send email to,send email,13
Please be quiet,goodbye,6
What services do you offer?,what can you do,20
tell me a joke today,tell me joke,17
send email to <name> about <name>,send email,13
Please be quiet,goodbye,6
find the this week's news about emigration legislation in the us please,tell me news,18
today,asking date,0
hey there,"greet and hello hi kind of things, general check in",7
play games of c,play games,11
hello there,"greet and hello hi kind of things, general check in",7
what is the weather tomorrow,asking weather,2
Do you know what time it is?,asking time,1
tell me news day after tomorrow,tell me news,18
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
lower volume to half,volume control,19
what can you do,what can you do,20
Can you set the volume to minimum?,volume control,19
How hot will it be,asking weather,2
give me election updates,tell me news,18
click photo of <name>,click photo,3
please play michael jackson album,play on youtube,12
I am really bored,i am bored,8
play kishore kumar on youtube,play on youtube,12
what is the day of the week,asking date,0
turn down the noise,volume control,19
whats the name of the current song,play on youtube,12
temperature this hour,asking weather,2
play kishore kumar on youtube,play on youtube,12
i bought pre season baseball tickets,tell me about,16
what can you do,what can you do,20
volume control mute,volume control,19
tell me a joke about dogs,tell me joke,17
please advise what the current news is on fox news,tell me news,18
How about a joke,tell me joke,17
what's the good news of stock market,tell me news,18
tell me about yours,tell me about,16
Can you turn the volume down?,volume control,19
Can you increase the volume?,volume control,19
i am bored what can i do today,i am bored,8
send email to <name>,send email,13
dea guam prescription drug abuse on the rise,tell me news,18
mute enabled until i say so,volume control,19
what is the weather like now tomorrow,asking weather,2
daily cases of india,covid cases,4
I am not entertained,i am bored,8
i want coffee,,-1
covid cases of india past 24 hours,covid cases,4
what's the date is currently,asking time,1
Good thanks! My user is Adam,"greet and hello hi kind of things, general check in",7
capture selfie,click photo,3
Where should I go nearby?,places near me,10
Goodbye,goodbye,6
click photo,click photo,3
play on youtube,play on youtube,12
lower all volume on speakers please,volume control,19
send whatsapp message,send whatsapp message,14
Do you know what time it is?,asking time,1
download youtube video of minecraft,download youtube video,5
what is the date easter falls on,asking time,1
play bad guy on youtube,play on youtube,12
i need a naughty joke not to naughty though,tell me joke,17
daily cases,covid cases,4
lets play tic tac toe,play games,11
Quiet,goodbye,6
Can you set the volume to maximum?,volume control,19
Great thanks! I am Bella,"greet and hello hi kind of things, general check in",7
capture selfie,click photo,3
open website youtube.com,open website,9
have i received any emails from beth,send email,13
"Thank you, goodbye",goodbye,6
can you give me the time in this time zone,asking time,1
Hya there,"greet and hello hi kind of things, general check in",7
good evening,goodbye,6
Where should I go nearby?,places near me,10
be my clock,asking time,1
open website stackoverflow.com,open website,9
what time is it day after tomorrow,asking time,1
funny story,tell me joke,17
may i know the time in london,asking time,1
set the volume to low,volume control,19
tell me about history of british india,tell me about,16
How are you?,"greet and hello hi kind of things, general check in",7
download youtube video of,download youtube video,5
capture photo of,click photo,3
hey there,"greet and hello hi kind of things, general check in",7
hey olly make me laugh with a good joke,tell me joke,17
show me thai food near me,places near me,10
will you once again rephrase me about what you just said now.,tell me about,16
Can you tell me the time?,asking time,1
find me the best knock knock joke on the internet,tell me joke,17
It is Adam,"greet and hello hi kind of things, general check in",7
lower volume of music player,volume control,19
i want to drink the coffee that you made,,-1
play baseball net,play games,11
will you further elaborate me on it please.,tell me about,16
what time is it in karachi right now,asking time,1
send email about,send email,13
open website github.com,open website,9
What are the things you can do?,what can you do,20
download youtube video of minecraft,download youtube video,5
send whatsapp message,send whatsapp message,14
who sing we are the world,play on youtube,12
Where should I go nearby?,places near me,10
This is Adam,"greet and hello hi kind of things, general check in",7
date and time,asking time,1
please open blokus game i would like to play with you,play games,11
can you please make a coffee,,-1
good day,goodbye,6
i want to hear purple haze,play on youtube,12
send email to <name> about <name>,send email,13
Hello,"greet and hello hi kind of things, general check in",7
Do you know what time it is?,asking time,1
tell me a joke about virginia,tell me joke,17
places near me to eat today with my friends,places near me,10
what time is it today,asking time,1
Time,asking time,1
could you please lower your volume,volume control,19
Can you recommend some places nearby?,places near me,10
play let me love you on youtube,play on youtube,12
click photo,click photo,3
Hope you are doing well?,"greet and hello hi kind of things, general check in",7
download youtube video of minecraft,download youtube video,5
Hello,"greet and hello hi kind of things, general check in",7
hey,"greet and hello hi kind of things, general check in",7
Hello,"greet and hello hi kind of things, general check in",7
play on youtube,play on youtube,12
what time is it today,asking time,1
Good thanks! It is Adam,"greet and hello hi kind of things, general check in",7
Can you tell me the time?,asking time,1
download youtube video of <name>,download youtube video,5
"Thank you, bye",goodbye,6
take screenshot,take screenshot,15
your volume is too high please repeat that lower,volume control,19
tomorrow,asking date,0
Tell me a joke,tell me joke,17
give me name and type of this music,play on youtube,12
tell sean i appreciate him reaching out to me,send email,13
Great thanks! My user is Bella,"greet and hello hi kind of things, general check in",7
day after tomorrow,asking date,0
I am so bored,i am bored,8
send whatsapp message to,send whatsapp message,14
what is the weather tomorrow,asking weather,2
send whatsapp message to,send whatsapp message,14
lets play battleship,play games,11
volume control increase by 10,volume control,19
i don't get this.,tell me about,16
what is the update on stock market,tell me news,18
Is it going to snow,asking weather,2
capture photo of,click photo,3
what is the day,asking date,0
do you want to play,play games,11
did my mom send me an email,send email,13
covid cases of india past 48 hours,covid cases,4
send email to dipesh,send email,13
My user is Bella,"greet and hello hi kind of things, general check in",7
tell me about tomorrow,tell me about,16
play games of xxd,play games,11
send email to,send email,13
tell me about my day,tell me about,16
mute volume,volume control,19
This is Adam,"greet and hello hi kind of things, general check in",7
send mom the following email,send email,13
good bye,goodbye,6
keep me informed about bitcoin price,tell me news,18
send email to <name>,send email,13
please once again rephrase me about what you have said.,tell me about,16
is the song by shakira,play on youtube,12
good afternoon,goodbye,6
play shape of you on youtube today,play on youtube,12
It is Adam,"greet and hello hi kind of things, general check in",7
what music is playing now nine hundred and ninety nine fm,play on youtube,12
give me the name of all the shops in my area,places near me,10
My user is Bella,"greet and hello hi kind of things, general check in",7
What are your functions?,what can you do,20
provide wall street journal news,tell me news,18
"Thanks, bye",goodbye,6
show me all the shops that i can find in milan,places near me,10
open website linkedin.com,open website,9
I am looking for places around here,places near me,10
"Thank you, goodbye",goodbye,6
open website github.com,open website,9
i am bored,i am bored,8
send whatsapp message about <name>,send whatsapp message,14
have i received any emails from my father,send email,13
i want to know the best super market in this local area,places near me,10
Hya there,"greet and hello hi kind of things, general check in",7
What are your functionalities?,what can you do,20
set the settings to mute,volume control,19
play despacito on youtube today,play on youtube,12
covid cases,covid cases,4
set the volume to low,volume control,19
download youtube video of <name> today,download youtube video,5
play snake with me,play games,11
Do you know what time it is?,asking time,1
"Thank you, bye",goodbye,6
take screenshot of google,take screenshot,15
open up tetris,play games,11
Hola how are you?,"greet and hello hi kind of things, general check in",7
check my email messages,send email,13
turn off the bass from the audio,volume control,19
click selfie of,click photo,3
who wrote the song that is playing,play on youtube,12
play the song get happy by ella fitzgeral,play on youtube,12
covid cases of india past 48 hours,covid cases,4
What are the closest places to me?,places near me,10
play games of gcc,play games,11
I have good news,tell me news,18
tell me a joke about trump and xi,tell me joke,17
play games of xxd,play games,11
Do you know what time it is?,asking time,1
take screenshot,take screenshot,15
who covered the song one more cup of coffee,play on youtube,12
what genre is this song currently playing,play on youtube,12
play papa pear saga,play games,11
I am Bella,"greet and hello hi kind of things, general check in",7
what is the weather like now today,asking weather,2
have i received any emails about jared's birthday,send email,13
mute for the next hour please,volume control,19
screen shot of <name>,take screenshot,15
turn off the bass from the audio,volume control,19
tell me a joke about xenophobia,tell me joke,17
i want exact time in washington right now,asking time,1
Hya there,"greet and hello hi kind of things, general check in",7
what is the weather like tomorrow,asking weather,2
open website youtube.com,open website,9
send an email to grandma saying we are dropping by on saturday see you then,send email,13
once again elaborate me on what you have just said please.,tell me about,16
Quiet,goodbye,6
please play my cricket game,play games,11
will you rephrase this again to me please.,tell me about,16
let's play workout playlist,play on youtube,12
what time is it day before tomorrow,asking time,1
is that song from shakira,play on youtube,12
games,play games,11
Hello,"greet and hello hi kind of things, general check in",7
Stop talking,goodbye,6
I am so bored,i am bored,8
do i need to take an umbrella today,asking weather,2
can i go outing without any raincoat,asking weather,2
what is the current temperature outside,asking weather,2
which is the best place to visit in this month,places near me,10
Good thanks! I am Adam,"greet and hello hi kind of things, general check in",7
How are you?,"greet and hello hi kind of things, general check in",7
whats up,"greet and hello hi kind of things, general check in",7
click photo of <name>,click photo,3
play games of xxd,play games,11
today,asking date,0
Can you recommend some places nearby?,places near me,10
Please be quiet,goodbye,6
send whatsapp message about <name>,send whatsapp message,14
volume control up,volume control,19
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
"Thanks for the help, goodbye",goodbye,6
Hello how are you?,"greet and hello hi kind of things, general check in",7
hey,"greet and hello hi kind of things, general check in",7
volume control mute,volume control,19
i need a funny joke to tell sam,tell me joke,17
play on youtube,play on youtube,12
See you later,goodbye,6
good news for economy,tell me news,18
what day of the week is the first of march,asking time,1
play games of gcc,play games,11
i feel like playing chess can you play that,play games,11
Hola how are you?,"greet and hello hi kind of things, general check in",7
keep me updated on the election results,tell me news,18
Great thanks! It is Bella,"greet and hello hi kind of things, general check in",7
find a shop that sells beer,places near me,10
what song am i listening to,play on youtube,12
make me smile by telling a joke,tell me joke,17
Tell me a joke,tell me joke,17
Hola how are you?,"greet and hello hi kind of things, general check in",7
will it rain,asking weather,2
send email to <name>,send email,13
play baseball net,play games,11
what will the weather be like on saturday,asking weather,2
hi how are you,"greet and hello hi kind of things, general check in",7
i want to listen to a joke,tell me joke,17
Hello hope you are doing well?,"greet and hello hi kind of things, general check in",7
did i get an email from jen last night,send email,13
Enough talking,goodbye,6
show shops around second street,places near me,10
Can you tell me the time?,asking time,1
Good thanks! It is Adam,"greet and hello hi kind of things, general check in",7
what is the weather like now tomorrow,asking weather,2
click selfie of,click photo,3
i want to slow down my speaker,volume control,19
download youtube video of <name>,download youtube video,5
capture photo of,click photo,3
what's the latest on the travel ban,tell me news,18
Hope you are doing well?,"greet and hello hi kind of things, general check in",7
Hello,"greet and hello hi kind of things, general check in",7
play minecraft,play games,11
time,asking time,1
what time is it tomorrow,asking time,1
can you place the sound on mute,volume control,19
what's next,tell me about,16
Do you know what time it is?,asking time,1
send whatsapp message,send whatsapp message,14
could you play poker with me,play games,11
send an email to my wife about next week weather,send email,13
best reviews restaurant in south sacramento,places near me,10
This is Adam,"greet and hello hi kind of things, general check in",7
give me the weekly weather near me,asking weather,2
open website stackoverflow.com,open website,9
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
quiet,volume control,19
send email to <name>,send email,13
What are some nearby locations?,places near me,10
send whatsapp message to 9898982565,send whatsapp message,14
What are the closest places to me?,places near me,10
play baseball,play games,11
What are some nearby locations?,places near me,10
i am bored what can i do today with my wife,i am bored,8
could you fix me some coffee,,-1
Can you recommend some places nearby?,places near me,10
what does jon bon jovi's wife look like,tell me about,16
email me the lyrics to this song,play on youtube,12
What are the top places nearby?,places near me,10
covid cases of,covid cases,4
hey,"greet and hello hi kind of things, general check in",7
What are the things you can do?,what can you do,20
play the veldt by,play on youtube,12
who is the artist of the song playing now,play on youtube,12
current news cnn,tell me news,18
Can you turn the volume up?,volume control,19
This is Adam,"greet and hello hi kind of things, general check in",7
when will you do my laundry,tell me about,16
what is the list about my favorite songs,play on youtube,12
tell me you,tell me about,16
what is the highest rated joke today,tell me joke,17
take screenshot of google,take screenshot,15
"Thank you, goodbye",goodbye,6
silence for two hours,volume control,19
play pacman game with me,play games,11
please adjust the speakers to a lower more comfortable level,volume control,19
have i gotten any new emails from mary,send email,13
Great thanks! This is Bella,"greet and hello hi kind of things, general check in",7
what time is it now,asking time,1
Hello,"greet and hello hi kind of things, general check in",7
what's good news,tell me news,18
Can you increase the volume?,volume control,19
hey do i have any emails from bob about the bulldog,send email,13
download youtube video of guru randhawa,download youtube video,5
open website stackoverflow.com,open website,9
My user is Adam,"greet and hello hi kind of things, general check in",7
list shops in douglasville ga,places near me,10
do not make any noise until morning alarm,volume control,19
get news about new foreign policy,tell me news,18
make me laugh,tell me joke,17
do coffee,,-1
Hi there,"greet and hello hi kind of things, general check in",7
Hola how are you?,"greet and hello hi kind of things, general check in",7
i want hot coffee,,-1
what is happening with brexit today,tell me news,18
daily cases of india,covid cases,4
I am so bored,i am bored,8
i'm looking for a bar do you know a good one,places near me,10
mute for fifteen minutes,volume control,19
will the weather be bad on sunday,asking weather,2
what is the weather like now,asking weather,2
cnn,tell me news,18
Hola how are you?,"greet and hello hi kind of things, general check in",7
weather for the next week in new york,asking weather,2
tell me the artist of this song,play on youtube,12
get me a coffee,,-1
Do you know what time it is?,asking time,1
today,asking date,0
tell me about tomorrow,tell me about,16
open up angry birds,play games,11
Give me a joke,tell me joke,17
volume down,volume control,19
My user is Bella,"greet and hello hi kind of things, general check in",7
What are the top places nearby?,places near me,10
play games of xyz 32 bit,play games,11
what is trending,tell me news,18
good evening,goodbye,6
send whatsapp message to 9898982565,send whatsapp message,14
send email to <name>,send email,13
What are your functions?,what can you do,20
Hello,"greet and hello hi kind of things, general check in",7
What actions can you perform?,what can you do,20
capture photo of <name>,click photo,3
covid cases,covid cases,4
Do you know any jokes,tell me joke,17
pull up outlook i need to send a email,send email,13
